Section;Item;Type;Action;Description;Constraints / Defaults;Rationale / Notes;Nicolas' Notes
Core project;project.slug;varchar;Keep existing but review length;Globally unique project URL slug;Unique;Projects can be co-owned so URL should stay global, likely /project/<slug>;
Core project;project.title;varchar;Rename from project.displayName;Main project title;Use same max length as conversation title;Clearer terminology than displayName;
Core project;project.directoryVisibility;enum listed | unlisted;Keep existing;Project discoverability;Admin create should always set listed and not expose this in UI;Existing visibility pattern;
Core project;project.autoProvisionedForOrganizationId;integer nullable unique;Keep existing;Marks default auto-provisioned org project;Admin-created projects must set null;Distinguishes on-demand partner projects from auto-provisioned default projects;
Core project;project.currentContentId;integer nullable unique FK to project_content.id;Add;Pointer to latest editable project content row;Nullable;No backfill needed for existing auto-provisioned projects now;
Core project;project.createdAt;timestamp;Keep existing;Creation timestamp;defaultNow not null;Existing field;
Core project;project.updatedAt;timestamp;Keep existing;Metadata update timestamp;defaultNow not null;Existing field;
Project content;project_content;table;Add;Versioned project landing-page content;One project can have many historical content rows;Follows conversation_content edit/version pattern;
Project content;project_content.id;integer identity PK;Add;Internal content row id;Primary key;Standard pattern;
Project content;project_content.projectId;integer FK;Add;Project this content row belongs to;not null references project.id;Required relationship;
Project content;project_content.subtitle;varchar nullable;Add;Plain-text subtitle below project title;Max length same as project.title/conversation title;Optional;
Project content;project_content.body;text nullable;Add;Rich HTML project body/summary;Max length same as conversation body HTML input;Renamed from summary and should behave like conversation body;
Project content;project_content.bodyPlainText;text nullable;Add;Plain-text project body/summary;Max length same as conversation body plain text;Used for search/previews/counting;
Project content;project_content.heroImagePath;text nullable;Add;Project banner image path or full URL;Nullable;Same image semantics as organization.imagePath;
Project content;project_content.heroImageIsFullPath;boolean;Add;Whether heroImagePath is already a full URL;not null default false;Same image semantics as organization.isFullImagePath;
Project content;project_content.createdAt;timestamp;Add;Content row creation timestamp;defaultNow not null;Immutable content row timestamp;
Project content;language metadata;none for now;Do not add now;No source language / dynamic translation metadata in first pass;Can be added later if project body enters translation pipeline;Avoid preemptive fields until translation use-case is implemented;
Project content dropped;locationLabel;none;Drop;No location field in first schema;None;Can revisit with structured location design later;
Project content dropped;projectLifecycleStatus;none;Drop;No project-level draft/live/closed status in first schema;None;Do not include in spec;
Project content dropped;startsAt / endsAt / dateRangeLabel;none;Drop;No project-level date range fields;None;Future dates should be conversation-level and derived for project;
Project content dropped;heroImageAlt;none;Drop;No banner alt text field now;None;Use default background/fallback in UI;
Project content dropped;brand colors / liveLabel / footerOwnershipNote;none;Drop;No branding/status/footer DB fields now;None;Footer is i18n UI text like content belongs to project owners;
Real organization ownership;project_organization_ownership;existing table;Keep;Permission/admin ownership by real Agora organizations;At least one row for admin-created project;Security/capability table only, not public display role table;
Real organization ownership;owner organization selection;API input;Use in admin create;Admin chooses existing real orgs that own/admin the project;All selected orgs must exist and have directoryVisibility listed;Supports current DB many-to-many even if UI initially commonly uses one owner;
Real organization ownership;auto-provision defaults;API behavior;Apply;Admin-created project is not default auto-provisioned project;autoProvisionedForOrganizationId null;Transparent to admin UI;
Public attribution enum;project_organization_attribution_role_enum;enum;Add;Public role for org-like entries on project page;Values: project_owner, sponsor, partner;This is presentational and orthogonal to permission ownership;
External organizations;project_external_organization;table;Add;Project-scoped external organization-like profile;Non-reusable outside one project;For sponsors/partners/project owners that do not have Agora org accounts;
External organizations;project_external_organization.id;integer identity PK;Add;Internal external org id;Primary key;Standard pattern;
External organizations;project_external_organization.projectId;integer FK;Add;Project this external org belongs to;not null references project.id;Project-scoped by design;
External organizations;project_external_organization.displayName;varchar;Add;Displayed external organization name;not null, max length same as organization.displayName;Only mandatory external org profile field;
External organizations;project_external_organization.description;varchar nullable;Add;Optional external org description;Max length same as organization.description;Mirrors real organization profile shape;
External organizations;project_external_organization.imagePath;text nullable;Add;Optional external org logo/image path;Nullable;Mirrors organization.imagePath;
External organizations;project_external_organization.isFullImagePath;boolean;Add;Whether imagePath is already a full URL;not null default false;Mirrors organization.isFullImagePath;
External organizations;project_external_organization.websiteUrl;text nullable;Add;Optional external website URL;Nullable;UI opens directly as external link;
External organizations;project_external_organization.createdAt;timestamp;Add;Creation timestamp;defaultNow not null;Standard pattern;
External organizations;project_external_organization.updatedAt;timestamp;Add;Update timestamp;defaultNow not null;Standard pattern;
External organizations;project_external_organization_project_id_id_unique;unique constraint;Add;Composite target for attribution FK;unique(projectId,id);Allows attribution table to enforce same-project external org references;
Public attribution;project_organization_attribution;table;Add;One ordered public attribution list for real or external orgs;Each row points to exactly one source;Combines real and external org display rows so sortOrder cannot collide across tables;
Public attribution;project_organization_attribution.id;integer identity PK;Add;Internal attribution row id;Primary key;Standard pattern;
Public attribution;project_organization_attribution.projectId;integer FK;Add;Project page where this attribution appears;not null references project.id;Required;
Public attribution;project_organization_attribution.role;enum;Add;Public section role;not null;project_owner sponsor or partner;
Public attribution;project_organization_attribution.sortOrder;integer;Add;Order within project and role;not null default 0;Single table makes ordering unambiguous;
Public attribution;project_organization_attribution.organizationId;integer nullable FK;Add;Real Agora organization source;references organization.id;Set for real org attribution rows;
Public attribution;project_organization_attribution.externalOrganizationId;integer nullable;Add;External project-scoped organization source;Nullable;Used with composite FK below;
Public attribution;attribution_source_xor;DB check;Add;Exactly one source is present;num_nonnulls(organizationId, externalOrganizationId) = 1;Clear real-vs-external source rule;
Public attribution;attribution_external_same_project;composite FK;Add;External org source must belong to same project;foreign key (projectId, externalOrganizationId) references project_external_organization(projectId,id);Avoids attribution pointing to an external org from another project;
Public attribution;attribution_order_unique;unique constraint;Add;Prevent duplicate order slots;unique(projectId, role, sortOrder);One ordering namespace per project role across real and external orgs;
Public attribution;attribution_real_unique;partial unique index;Add;Prevent duplicate real org attribution;unique(projectId, role, organizationId) where organizationId is not null;Allows same real org in different roles only if desired by role;
Public attribution;attribution_external_unique;partial unique index;Add;Prevent duplicate external org attribution;unique(projectId, role, externalOrganizationId) where externalOrganizationId is not null;Allows same external org in different roles only if desired by role;
Public attribution;default owner attribution;API behavior;Add;When creating project, insert selected real owner org as project_owner attribution;sortOrder starts at 0;Keeps public page populated from project owner by default;
Project contact;project_contact;table;Add;External participant point of contact for project;Optional one row per project for now;Moved out of project_content because it references org attribution/source separately;
Project contact;project_contact.id;integer identity PK;Add;Internal contact row id;Primary key;Standard pattern;
Project contact;project_contact.projectId;integer FK unique;Add;Project this contact belongs to;not null unique references project.id;Use unique if only one contact is supported initially;
Project contact;project_contact.name;varchar;Add;Contact person display name;not null;If a contact row exists, name is mandatory;
Project contact;project_contact.roleLabel;varchar nullable;Add;Optional role label such as Facilitator;Nullable;Do not combine with organization name;
Project contact;project_contact.email;text;Add;Contact email;not null;No contactUrl in first version;
Project contact;project_contact.organizationId;integer nullable FK;Add;Optional real Agora organization affiliation;references organization.id;Affiliation only, not auth/user identity;
Project contact;project_contact.externalOrganizationId;integer nullable;Add;Optional external organization affiliation;Nullable with composite FK;Affiliation can reference a project-scoped external org;
Project contact;contact_affiliation_xor_or_none;DB check;Add;Contact can have no affiliation or exactly one affiliation source;num_nonnulls(organizationId, externalOrganizationId) <= 1;Affiliation is optional;
Project contact;contact_external_same_project;composite FK;Add;External affiliation must belong to same project;foreign key (projectId, externalOrganizationId) references project_external_organization(projectId,id);Avoids cross-project external org affiliation;
Project contact;project_contact.createdAt;timestamp;Add;Creation timestamp;defaultNow not null;Standard pattern;
Project contact;project_contact.updatedAt;timestamp;Add;Update timestamp;defaultNow not null;Standard pattern;
Project contact dropped;facilitatorContactUrl;none;Drop;No contact URL field in first version;None;Email is mandatory when contact exists;
Project contact dropped;facilitator avatar / initials;none;Drop;No contact image/avatar fields;None;Contact is not an Agora user;
Activities;project activities;derived from conversation.projectId;No schema change;Activities are conversations in the project;Sort by conversation.createdAt desc like New feed;Use existing compact conversation UI/data;
Derived stats;participantCount;derived query;No schema field;Aggregate participants over project conversations;Use live data not analysis-ready conversation view;No SSE for now;
Derived stats;voteCount;derived query;No schema field;Aggregate votes/reactions over project conversations;Use live data;No DB field;
Derived stats;activityCount;derived query;No schema field;Count conversations in project;Use conversation.projectId;No DB field;
Admin create API;endpoint;POST endpoint;Add;Site-admin-only create project shell endpoint;POST-only API pattern;Possible path: /api/v1/administrator/project/create;
Admin create API;request.projectSlug;string slug;Add input;Globally unique project slug;Validate length and slug format;Stored in project.slug;
Admin create API;request.projectTitle;string;Add input;Project title;Max length same as conversation title;Stored in project.title;
Admin create API;request.ownerOrganizationSlugs;string[] nonempty;Add input;Real owner orgs selected by admin;All must exist and be listed;Creates project_organization_ownership rows;
Admin create API;request.subtitle;string optional;Add input;Initial project subtitle;Max length same as project title;Creates first project_content row;
Admin create API;request.body;html string optional;Add input;Initial project rich body;Same validation as conversation body HTML;Creates project_content.body;
Admin create API;request.bodyPlainText;string optional;Add input;Initial project plain body;Same validation as conversation body plain text;Creates project_content.bodyPlainText;
Admin create API;request.heroImagePath;string optional;Add input;Initial hero image;Optional;Creates project_content.heroImagePath;
Admin create API;request.heroImageIsFullPath;boolean default false;Add input;Initial hero image path mode;Default false;Creates project_content.heroImageIsFullPath;
Admin create API;request.attributions;array optional;Add input;Public project_owner/sponsor/partner display entries;Each item is real org slug or external org payload plus role and sortOrder;Creates attribution rows and external org rows when needed;
Admin create API;request.contact;object optional;Add input;External project contact;Requires name and email if present;Creates project_contact row;
Admin create API;request.directoryVisibility;none;Do not expose;Project is always listed for this admin flow;API sets listed;Matches latest note;
Admin create API;response.projectSlug;string;Add output;Created project slug;Return after create;Useful for navigation;
Admin create API;response.projectId;integer;Add output;Created project internal id;Return after create;Useful for admin/debugging;
